entity,code,year,annual_co2_emissions_per_capita,gdp_per_capita,population_historical_estimates,continent
France,FRA,2015,5.1186,36827,64453194,Europe
Gabon,GAB,2015,2.7055,18389,1947690,Africa
Gambia,GMB,2015,0.2512,1786,2085860,Africa
Georgia,GEO,2015,2.4221,10603,4024180,Asia
Germany,DEU,2015,9.7278,44293,81787411,Europe
Ghana,GHA,2015,0.5786,3809,27849203,Africa
Greece,GRC,2015,7.0322,22442,10659737,Europe
Guatemala,GTM,2015,0.9735,7138,16252425,North America
Guinea,GIN,2015,0.2144,1364,11432096,Africa
Guinea-Bissau,GNB,2015,0.1603,1393,1737207,Africa
